student_id,gender,department,scholarship,parental_education,extra_curricular,age,cgpa,attendance_rate,family_income,Backlogs,study_hours_per_week,assignments_submitted,projects_completed,total_activities,sports_participation,dropout,is_repeater,income_group
200195,Maleale,BIO,Yes,unknown,Yes,16,7,86,56811,6,8,17,4,3,Yes,0,0,medium
200198,Other,ME,No,Secondary,No,26,6,66,52743,3,22,52,4,8,No,1,0,medium
200205,Female,unknown,No,Postgraduate,Yes,17,7,62,36184,4,5,6,1,8,No,0,0,low
200206,Maleale,BIO,Yes,Primary,Yes,16,6,70,70337,6,17,53,1,5,Yes,1,0,medium
200209,Other,CIVIL,No,Secondary,Yes,16,5,61,59793,4,14,25,3,3,Yes,0,0,medium
200211,Female,CS,No,Postgraduate,No,21,6,86,51700,3,16,22,1,0,Yes,0,0,medium
200212,Female,CS,Yes,unknown,Yes,19,7,64,53344,2,22,47,4,3,Yes,0,0,medium
200215,Other,COMMERCE,No,Primary,Yes,21,5,92,80018,2,22,33,1,9,No,0,0,medium
200217,Female,ARTS,Yes,Graduate,No,17,5,56,35973,3,17,27,2,8,No,0,0,low
200224,Male,unknown,No,Primary,No,21,6,65,71803,4,12,3,3,2,No,1,0,medium
200225,Female,ARTS,Yes,Graduate,No,19,6,63,49682,4,14,23,4,9,No,0,0,low
200231,Other,COMMERCE,No,Graduate,No,23,6,63,47271,4,14,27,3,5,No,0,0,low
200233,Female,CS,No,unknown,Yes,16,6,73,70909,5,8,40,4,1,No,1,0,medium
200236,Maleale,ECE,Yes,unknown,No,21,7,63,74319,4,21,36,4,8,No,0,0,medium
200238,Other,ECE,Yes,Postgraduate,Yes,17,5,79,56495,6,14,59,0,4,No,1,0,medium
200240,Male,ME,No,Primary,Yes,19,7,81,33189,4,15,55,3,7,Yes,0,0,low
200242,Maleale,CS,Yes,unknown,Yes,18,6,60,66350,2,19,4,4,4,No,1,0,medium
200245,Male,BIO,No,unknown,No,23,6,88,647760,2,24,51,1,1,No,0,0,high
200251,Female,ECE,Yes,unknown,Yes,20,5,51,49251,4,18,31,2,0,Yes,1,0,low
200251,Female,ECE,Yes,unknown,Yes,20,5,51,49251,4,18,31,2,0,Yes,1,0,low
200255,Maleale,COMMERCE,No,Postgraduate,Yes,21,7,88,38249,3,7,10,2,6,No,0,0,low
200259,Female,ME,Yes,unknown,Yes,22,5,89,91503,5,19,13,4,9,No,1,0,medium
200261,Male,ARTS,No,unknown,Yes,22,5,58,40893,5,9,38,1,2,No,1,0,low
200263,Male,CS,Yes,unknown,Yes,17,5,88,38612,2,9,40,1,1,Yes,0,0,low
200266,Maleale,COMMERCE,No,Graduate,Yes,22,6,65,37143,4,13,42,2,7,Yes,1,0,low
200268,Maleale,COMMERCE,Yes,Primary,No,17,7,77,40812,2,14,28,1,5,Yes,0,0,low
200269,Female,ARTS,No,unknown,Yes,25,6,71,28100,2,18,40,4,2,No,0,0,low
200276,Male,ECE,Yes,Primary,No,26,6,97,31967,4,24,34,2,5,No,0,0,low
200278,Male,ME,No,unknown,Yes,19,5,70,40388,6,15,43,4,1,No,1,0,low
200281,Female,CS,No,Graduate,Yes,16,6,51,34006,3,11,43,3,0,Yes,1,0,low
200284,Other,CS,No,Graduate,Yes,20,6,77,58201,2,19,35,4,9,No,0,0,medium
200285,Male,BIO,No,unknown,Yes,26,5,48,15928,4,14,33,4,5,Yes,0,0,low
200290,Maleale,BIO,No,unknown,No,22,5,54,25902,6,20,36,0,6,Yes,1,0,low
200293,Maleale,COMMERCE,Yes,Postgraduate,Yes,26,5,73,42192,2,5,51,1,4,No,0,0,low
200301,Female,ECE,Yes,unknown,No,26,6,72,58186,6,17,55,4,3,No,0,0,medium
200302,Maleale,CS,No,Graduate,Yes,22,7,74,54286,2,12,21,4,7,No,0,0,medium
200312,Female,COMMERCE,Yes,Primary,No,16,5,63,42319,6,11,11,3,5,No,0,0,low
200313,Male,ARTS,No,unknown,No,26,6,100,27055,2,6,12,3,7,No,0,0,low
200313,Male,ARTS,No,unknown,No,26,6,100,27055,2,6,12,3,7,No,0,0,low
200314,Female,ECE,No,Primary,Yes,24,7,75,69929,3,13,34,4,1,Yes,0,0,medium
200316,Male,ARTS,No,Secondary,No,19,7,95,30463,3,12,21,1,9,No,0,0,low
200317,Female,unknown,No,unknown,Yes,17,5,61,68516,3,23,8,2,5,No,1,0,medium
200319,Female,ARTS,Yes,unknown,No,26,5,89,58047,3,12,18,3,8,Yes,0,0,medium
200321,Female,ME,No,Secondary,No,18,5,43,60870,6,6,39,4,7,No,1,0,medium
200325,Male,ME,Yes,Secondary,Yes,22,6,83,44573,3,14,45,0,7,No,0,0,low
200326,Male,CS,No,unknown,No,23,6,82,73964,4,13,30,0,7,No,0,0,medium
200326,Male,CS,No,unknown,No,23,6,82,73964,4,13,30,0,7,No,0,0,medium
200333,Maleale,CIVIL,No,Secondary,Yes,24,7,61,38708,6,5,35,2,2,Yes,0,0,low
200334,Male,unknown,No,Graduate,No,16,6,72,48155,6,10,29,2,0,No,0,0,low
200336,Female,unknown,No,Graduate,Yes,16,5,66,68632,5,21,33,2,7,Yes,1,0,medium
200337,Other,ECE,No,unknown,No,16,7,59,41089,6,10,25,4,7,No,0,0,low
200340,Male,BIO,Yes,Primary,Yes,26,7,64,88703,4,10,17,2,7,Yes,0,0,medium
200342,Other,BIO,Yes,Primary,No,26,6,68,92558,3,13,45,1,8,No,0,0,medium
200344,Maleale,ECE,No,unknown,Yes,17,5,74,36460,2,21,10,3,9,No,1,0,low
200347,Maleale,ME,No,unknown,Yes,19,5,63,56402,5,16,31,1,4,No,1,0,medium
200352,Maleale,ECE,No,Primary,No,26,5,85,58650,5,13,12,3,7,No,0,0,medium
200355,Female,unknown,No,Secondary,Yes,20,5,97,32820,2,8,29,3,7,Yes,0,0,low
200356,Other,unknown,No,Postgraduate,No,20,5,69,52752,5,14,45,3,9,Yes,0,0,medium
200358,Female,unknown,No,unknown,Yes,16,5,78,52255,4,20,26,3,5,Yes,1,0,medium
200369,Maleale,ECE,Yes,Postgraduate,No,26,6,72,103008,2,22,57,1,7,Yes,0,0,medium
200371,Other,ME,No,Postgraduate,No,21,6,97,89937,4,19,42,3,7,No,1,0,medium
200372,Other,COMMERCE,No,unknown,No,20,7,62,63033,2,13,46,4,0,No,0,0,medium
200374,Maleale,unknown,No,Graduate,No,24,5,90,53706,6,20,9,1,4,Yes,0,0,medium
200376,Maleale,ME,Yes,Primary,No,21,6,66,49040,2,6,23,0,9,No,0,0,low
200377,Male,ARTS,No,Postgraduate,No,18,5,93,49682,6,16,11,2,1,Yes,1,0,low
200382,Male,ME,No,unknown,Yes,20,5,88,27053,2,16,9,3,6,No,0,0,low
200383,Male,ECE,No,Primary,No,19,6,76,55207,6,9,54,3,2,Yes,0,0,medium
200387,Other,COMMERCE,Yes,Postgraduate,No,24,7,92,79726,3,16,29,4,1,No,0,0,medium
200396,Male,ARTS,No,unknown,No,21,7,91,70626,4,15,20,2,0,No,0,0,medium
200397,Female,unknown,Yes,Postgraduate,Yes,23,7,73,30750,3,14,44,0,1,No,0,0,low
200400,Other,ARTS,No,Primary,No,19,5,58,21161,2,10,31,2,6,No,0,0,low
200402,Female,unknown,No,unknown,Yes,19,7,58,38641,4,9,57,0,1,No,1,0,low
200409,Maleale,COMMERCE,No,Primary,No,17,6,75,23914,6,23,23,4,6,Yes,0,0,low
200409,Maleale,COMMERCE,No,Primary,No,17,6,75,23914,6,23,23,4,6,Yes,0,0,low
200411,Maleale,ECE,No,Primary,No,16,5,79,49979,5,21,14,0,1,No,1,0,low
200423,Female,CIVIL,Yes,Primary,Yes,21,6,78,37611,6,18,33,4,8,No,1,0,low
200425,Female,COMMERCE,No,Postgraduate,Yes,21,7,91,53355,5,16,41,4,9,No,0,0,medium
200426,Other,ARTS,No,unknown,No,26,5,59,49189,3,18,31,2,2,No,0,0,low
200427,Male,CIVIL,No,unknown,Yes,23,7,48,51264,3,24,6,0,5,Yes,0,0,medium
200429,Female,CIVIL,No,Secondary,No,20,6,76,76675,2,21,27,1,9,No,0,0,medium
200430,Maleale,ECE,No,Secondary,Yes,16,5,87,38282,4,7,22,3,7,No,0,0,low
200432,Maleale,unknown,No,Primary,No,21,5,78,61446,6,21,58,0,4,No,1,0,medium
200439,Female,ARTS,No,unknown,No,24,6,75,54244,3,21,27,0,8,No,0,0,medium
200441,Female,CS,No,unknown,No,21,6,64,51190,2,9,57,2,3,Yes,0,0,medium
200444,Female,unknown,No,unknown,No,20,7,64,27374,3,13,33,2,7,No,0,0,low
200446,Female,ECE,Yes,Secondary,No,21,7,80,45863,6,16,53,0,3,Yes,0,0,low
200450,Maleale,BIO,No,unknown,No,21,7,78,56817,3,23,47,2,4,No,0,0,medium
200451,Female,BIO,No,Secondary,No,23,6,89,44098,5,23,20,4,1,No,0,0,low
200451,Female,BIO,No,Secondary,No,23,6,89,44098,5,23,20,4,1,No,0,0,low
200452,Maleale,unknown,Yes,Graduate,Yes,24,7,82,2039,3,21,36,3,7,No,0,0,low
200462,Male,CIVIL,Yes,Primary,Yes,18,5,41,53480,3,17,22,3,3,Yes,1,0,medium
200464,Female,CIVIL,No,unknown,Yes,18,5,63,76963,6,19,55,2,9,No,1,0,medium
200465,Female,COMMERCE,Yes,unknown,Yes,20,6,71,53939,4,6,25,4,6,No,0,0,medium
200466,Female,unknown,No,Postgraduate,Yes,22,7,65,48316,4,20,55,2,3,No,0,0,low
200469,Female,ECE,No,unknown,No,21,5,82,16188,5,13,27,0,7,No,1,0,low
200471,Maleale,CS,No,Primary,Yes,21,7,76,92586,4,6,8,0,4,No,0,0,medium
200479,Other,ECE,No,unknown,No,26,6,72,28312,4,5,15,2,3,No,0,0,low
200483,Male,BIO,No,unknown,No,18,6,83,77866,4,24,43,1,9,No,0,0,medium
200484,Male,ME,No,Graduate,No,19,6,63,52327,5,15,11,3,5,No,1,0,medium
200484,Male,ME,No,Graduate,No,19,6,63,52327,5,15,11,3,5,No,1,0,medium
200500,Female,ECE,Yes,unknown,Yes,26,6,79,39604,3,18,30,1,0,No,0,0,low
200508,Female,COMMERCE,No,Secondary,No,18,6,67,56058,6,7,22,4,4,No,1,0,medium
200512,Female,ARTS,No,Postgraduate,No,16,5,84,56358,4,23,50,3,5,No,1,0,medium
200514,Female,CIVIL,No,unknown,Yes,21,5,66,39944,3,7,49,2,0,Yes,0,0,low
200517,Female,CIVIL,No,Graduate,No,21,5,72,65644,4,15,13,1,9,No,0,0,medium
200518,Male,COMMERCE,Yes,Secondary,No,16,6,82,21145,6,12,38,4,3,No,1,0,low
200520,Maleale,ME,Yes,Primary,Yes,26,5,91,25983,6,24,3,4,3,No,1,0,low
200523,Other,ARTS,No,Secondary,No,19,7,75,68680,5,13,51,2,3,No,0,0,medium
200524,Other,unknown,No,Graduate,No,20,7,76,68656,6,18,53,1,2,No,1,0,medium
200527,Female,BIO,No,Postgraduate,Yes,19,7,100,12342,4,7,11,2,6,Yes,0,0,low
200537,Male,unknown,No,Graduate,Yes,23,6,88,29309,5,23,23,1,6,No,0,0,low
200542,Female,BIO,No,Primary,Yes,18,5,70,44751,4,13,19,0,9,No,1,0,low
200549,Female,BIO,No,unknown,No,25,5,71,54183,3,5,34,3,5,No,1,0,medium
200551,Other,unknown,No,Secondary,Yes,21,7,54,54801,5,9,0,0,7,No,1,0,medium
200557,Other,ARTS,Yes,unknown,No,25,5,73,61187,3,12,10,4,5,No,0,0,medium
200558,Female,BIO,No,unknown,No,22,5,72,8690,4,12,16,0,5,No,1,0,low
200559,Other,ARTS,Yes,unknown,Yes,18,6,73,31990,3,10,5,3,8,Yes,0,0,low
200561,Other,COMMERCE,Yes,Primary,Yes,17,6,56,42426,4,22,15,0,1,No,0,0,low
200562,Maleale,CS,Yes,Postgraduate,No,22,7,74,55051,3,15,21,2,1,No,0,0,medium
200568,Maleale,ECE,No,unknown,Yes,23,5,75,31514,5,11,46,4,2,No,1,0,low
200571,Other,ME,No,unknown,No,23,6,85,72977,5,15,20,0,2,No,0,0,medium
200574,Female,BIO,No,Postgraduate,No,26,6,91,73474,4,12,7,1,6,No,1,0,medium
200584,Female,COMMERCE,No,Secondary,No,25,5,73,41959,2,8,19,3,5,No,0,0,low
200590,Female,COMMERCE,No,unknown,No,24,7,91,44084,4,19,53,4,8,No,0,0,low
200591,Male,unknown,Yes,Secondary,No,22,6,66,41127,6,8,42,1,5,Yes,1,0,low
200592,Male,ME,No,Secondary,Yes,21,6,65,70964,3,11,33,0,7,No,0,0,medium
200593,Other,CS,No,unknown,No,24,5,84,84453,2,17,44,2,5,No,0,0,medium
200597,Maleale,BIO,Yes,Secondary,Yes,16,5,84,41131,3,12,2,1,5,Yes,0,0,low
200598,Female,ARTS,No,unknown,No,21,7,71,42292,6,21,55,1,0,No,1,0,low
200599,Male,unknown,No,Postgraduate,No,21,5,87,64876,3,21,54,2,7,No,0,0,medium
200611,Other,CS,Yes,Secondary,No,26,7,74,50966,2,6,50,1,6,No,0,0,medium
200621,Female,CS,No,Postgraduate,Yes,19,6,55,88446,4,8,15,4,4,Yes,1,0,medium
200623,Female,BIO,No,Graduate,No,22,6,91,25696,4,18,14,4,1,Yes,1,0,low
200625,Maleale,unknown,No,Postgraduate,No,19,5,89,54998,5,21,26,3,7,No,0,0,medium
200632,Other,COMMERCE,Yes,Secondary,Yes,24,6,61,59131,5,6,19,0,1,No,0,0,medium
200636,Other,unknown,Yes,Secondary,No,22,7,69,44354,6,14,57,1,4,Yes,1,0,low
200638,Maleale,COMMERCE,No,unknown,Yes,20,5,80,60943,2,24,26,4,5,No,0,0,medium
200643,Other,ME,No,Secondary,Yes,22,6,73,69425,6,13,40,3,0,No,1,0,medium
200644,Other,unknown,No,Primary,Yes,26,5,94,38883,3,24,39,2,9,No,1,0,low
200646,Other,ECE,Yes,Primary,No,17,5,81,49403,5,23,35,0,6,No,1,0,low
200649,Male,ME,No,Secondary,Yes,23,7,78,5892,3,22,47,0,1,No,0,0,low
200650,Male,CIVIL,No,Graduate,No,21,7,58,32400,5,15,1,0,9,Yes,0,0,low
200655,Other,ME,No,unknown,Yes,23,6,81,36708,2,7,7,3,3,Yes,0,0,low
200656,Maleale,CS,No,unknown,Yes,17,7,70,30711,5,22,28,4,8,Yes,1,0,low
200658,Maleale,CS,No,Graduate,No,24,5,75,44540,6,14,26,3,8,No,1,0,low
200662,Other,CIVIL,No,Graduate,Yes,19,5,76,48276,2,19,30,0,3,No,0,0,low
200663,Maleale,ECE,Yes,unknown,No,23,6,76,16954,4,11,24,0,2,No,0,0,low
200664,Female,ECE,Yes,Graduate,No,22,5,66,55013,4,25,16,2,6,No,1,0,medium
200665,Female,BIO,No,unknown,No,25,5,80,49093,3,11,52,1,3,No,0,0,low
200667,Male,CIVIL,Yes,unknown,No,16,5,85,50745,4,15,38,3,3,No,0,0,medium
200669,Female,CS,No,unknown,No,26,5,75,46949,6,9,28,3,0,Yes,0,0,low
200671,Female,CIVIL,No,unknown,No,26,7,70,12769,2,19,35,1,9,No,0,0,low
200677,Female,unknown,No,Secondary,Yes,19,7,69,45234,6,19,4,3,6,No,1,0,low
200686,Maleale,CS,No,Secondary,No,26,5,72,59353,6,17,49,3,0,No,0,0,medium
200688,Male,CS,No,Postgraduate,Yes,18,7,59,101638,6,10,42,0,8,No,1,0,medium
200692,Maleale,COMMERCE,Yes,unknown,No,17,6,78,43547,2,17,24,4,8,No,0,0,low
200693,Maleale,CIVIL,Yes,unknown,Yes,22,7,70,85588,4,16,38,3,6,No,0,0,medium
200694,Female,unknown,No,Postgraduate,Yes,22,6,70,27967,4,5,23,4,5,Yes,0,0,low
200696,Female,CS,Yes,Secondary,Yes,17,6,61,68508,4,18,1,4,0,Yes,1,0,medium
200702,Male,CIVIL,Yes,unknown,No,18,7,77,29090,4,24,41,0,9,Yes,0,0,low
200716,Female,ECE,No,unknown,Yes,17,6,87,57783,6,8,47,4,0,Yes,0,0,medium
200724,Maleale,ARTS,No,Graduate,Yes,25,5,100,85235,2,17,48,3,7,No,0,0,medium
200726,Other,CIVIL,Yes,Primary,No,20,6,75,58710,4,22,18,3,7,No,0,0,medium
200727,Female,ARTS,No,Postgraduate,No,23,7,98,37025,5,21,34,1,4,Yes,0,0,low
200729,Female,CIVIL,Yes,Primary,No,20,7,60,23867,5,21,45,4,5,Yes,0,0,low
200730,Female,ARTS,Yes,Graduate,Yes,26,5,57,28589,6,13,44,1,9,No,1,0,low
200734,Female,ECE,Yes,Graduate,No,16,6,78,73727,5,6,21,4,2,No,0,0,medium
200735,Male,CS,No,unknown,No,20,6,78,45858,4,5,57,3,8,No,0,0,low
200739,Maleale,BIO,No,unknown,Yes,19,7,83,31706,3,21,5,4,4,Yes,0,0,low
200741,Maleale,ECE,No,unknown,No,18,7,76,58118,2,11,41,1,2,No,0,0,medium
200743,Female,BIO,No,unknown,No,16,5,59,53080,6,19,20,1,2,No,1,0,medium
200744,Female,CIVIL,No,Postgraduate,No,18,5,79,35223,5,7,3,2,3,No,1,0,low
200746,Female,ME,No,Graduate,No,21,6,77,62826,4,10,39,2,5,No,0,0,medium
200748,Female,unknown,Yes,Primary,No,20,5,79,47353,6,12,26,1,8,No,1,0,low
200751,Female,ECE,No,Graduate,Yes,18,6,79,57938,5,18,43,4,9,No,0,0,medium
200756,Female,CS,Yes,Primary,No,18,7,100,43070,2,14,14,1,0,Yes,0,0,low
200757,Female,CS,No,Secondary,Yes,22,5,100,43837,3,18,17,4,2,Yes,0,0,low
200760,Maleale,CS,Yes,Secondary,No,26,5,67,102117,5,21,37,0,7,No,1,0,medium
200763,Maleale,BIO,No,Secondary,Yes,21,6,66,47402,4,21,0,3,9,No,1,0,low
200764,Maleale,unknown,Yes,unknown,Yes,20,7,57,64903,6,21,3,1,8,No,1,0,medium
200769,Maleale,ARTS,No,Primary,No,20,7,80,47902,4,13,6,2,0,Yes,0,0,low
200775,Other,COMMERCE,No,unknown,Yes,22,6,69,52635,3,13,47,2,5,No,1,0,medium
200776,Other,ME,No,unknown,No,23,6,71,45426,5,7,22,1,0,Yes,0,0,low
200784,Maleale,ARTS,No,unknown,Yes,24,6,82,65506,6,7,9,1,1,No,0,0,medium
200788,Male,ECE,Yes,unknown,No,20,5,76,29859,6,6,1,1,2,Yes,1,0,low
200790,Female,CS,No,Secondary,No,26,7,89,33091,4,18,17,4,9,No,0,0,low
200791,Male,BIO,No,Graduate,No,24,6,76,38096,4,5,3,4,4,Yes,1,0,low
200792,Male,ECE,No,Primary,No,17,5,81,101398,6,12,56,2,3,No,0,0,medium
200793,Other,BIO,No,Secondary,Yes,19,5,65,59461,2,15,31,4,3,Yes,0,0,medium
200795,Male,COMMERCE,Yes,unknown,Yes,16,5,52,35044,6,10,17,2,3,No,1,0,low
200796,Male,ME,Yes,unknown,No,18,7,92,52135,3,17,26,2,0,No,0,0,medium
200800,Male,ME,No,Secondary,No,16,6,47,32530,3,19,38,4,4,Yes,0,0,low
200803,Maleale,ME,Yes,Primary,No,19,6,44,90698,6,24,47,0,5,Yes,1,0,medium
200803,Maleale,ME,Yes,Primary,No,19,6,44,90698,6,24,47,0,5,Yes,1,0,medium
200804,Female,CIVIL,No,Postgraduate,Yes,18,6,84,38961,6,7,45,1,6,Yes,0,0,low
200810,Female,BIO,No,Primary,Yes,22,7,100,66967,6,14,20,0,2,No,0,0,medium
200815,Female,ARTS,No,unknown,Yes,16,7,79,53717,4,14,42,2,8,No,1,0,medium
200816,Male,CIVIL,No,Graduate,Yes,16,5,69,84630,5,7,55,3,9,Yes,0,0,medium
200817,Other,ECE,Yes,Secondary,No,17,7,95,27060,6,21,5,0,8,No,0,0,low
200822,Female,ME,No,Secondary,Yes,25,5,88,24406,3,18,53,0,8,No,1,0,low
200830,Maleale,ECE,No,Primary,No,25,6,83,44075,3,9,49,2,9,No,0,0,low
200833,Female,ARTS,No,unknown,Yes,20,6,77,39996,4,6,47,1,2,No,0,0,low
200839,Female,ARTS,No,Secondary,Yes,25,5,76,67366,5,16,45,3,0,Yes,0,0,medium
200841,Maleale,BIO,No,unknown,No,24,7,72,35791,3,8,39,3,4,No,0,0,low
200844,Other,COMMERCE,Yes,Graduate,Yes,18,5,100,68078,2,23,25,2,5,No,0,0,medium
200847,Other,BIO,Yes,unknown,No,23,7,84,97436,3,23,47,4,1,No,0,0,medium
200848,Male,ECE,No,Postgraduate,Yes,17,5,66,52604,5,23,48,0,5,Yes,0,0,medium
200851,Female,ARTS,No,unknown,Yes,16,6,65,23564,5,18,51,1,1,No,0,0,low
200859,Other,CIVIL,No,Postgraduate,Yes,23,5,93,46113,5,13,3,4,5,Yes,0,0,low
200860,Male,unknown,No,Graduate,No,16,5,94,49133,2,22,46,3,1,Yes,0,0,low
200861,Other,ME,No,Postgraduate,Yes,21,6,66,48757,5,8,4,1,2,No,1,0,low
200862,Other,ME,No,unknown,No,25,5,68,73068,3,5,28,1,7,Yes,1,0,medium
200863,Other,CIVIL,Yes,unknown,Yes,21,6,60,51119,4,24,5,4,1,No,1,0,medium
200864,Female,ECE,No,unknown,Yes,18,7,70,73490,2,15,22,2,6,No,0,0,medium
